buildingId,lotId,price,latLong,minBeds,minBaths,minArea,imgSrc,hasImage,isFeaturedListing,unitCount,isBuilding,address,variableData,badgeInfo,statusType,statusText,listingType,isFavorite,detailUrl,has3DModel,hasAdditionalAttributions,canSaveBuilding,zpid,priceLabel,beds,baths,area,isUserClaimingOwner,isUserConfirmedClaim,visited,hdpData,pgapt,sgapt,hasVideo,isHomeRec,availabilityDate,streetViewMetadataURL,streetViewURL,communityName,isPropertyResultCDP,style,isCdpResult,plid
33.819157--117.917404,2116524089.0,"From $319,900","{'latitude': 33.819157, 'longitude': -117.917404}",2.0,1.0,824.0,https://photos.zillowstatic.com/fp/91a99c26eeeca77f036b9d9e70fdb591-p_e.jpg,True,False,3.0,True,"954 S Citron St, Anaheim, CA",{},,FOR_SALE,For Rent,,False,/b/954-s-citron-st-anaheim-ca-9V99kB/,False,False,False,,,,,,,,,,,,,,,,,,,,,
33.648396--117.983345,1002161496.0,"From $49,900","{'latitude': 33.648396, 'longitude': -117.983345}",2.0,1.0,1000.0,https://photos.zillowstatic.com/fp/552eeb4211f6d59b86dd2d6a7ad2dd88-p_e.jpg,True,False,11.0,True,"21851 Newland St, Huntington Beach, CA",{},,FOR_SALE,For Rent,,False,/b/21851-newland-st-huntington-beach-ca-5XrFNR/,False,False,False,,,,,,,,,,,,,,,,,,,,,
,,"$550,000","{'latitude': 33.68682, 'longitude': -117.62609}",,,,https://photos.zillowstatic.com/fp/d1f0ddd9077f7377bcfb9bd62b91e128-p_e.jpg,True,False,,,--,"{'type': 'OPEN_HOUSE', 'text': 'Open: Sat. 2-4pm'}",,FOR_SALE,Condo for sale,,False,/homedetails/18952-Canyon-View-Dr-Trabuco-Canyon-CA-92679/25759153_zpid/,True,False,,25759153,$550K,2.0,2.0,954.0,False,False,False,"{'homeInfo': {'zpid': 25759153, 'zipcode': '92679', 'city': 'Trabuco Canyon', 'state': 'CA', 'latitude': 33.68682, 'longitude': -117.62609, 'price': 550000.0, 'bathrooms': 2.0, 'bedrooms': 2.0, 'livingArea': 954.0, 'homeType': 'CONDO', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 579500, 'rentZestimate': 2381, 'listing_sub_type': {'is_openHouse': True, 'is_FSBA': True}, 'openHouse': 'Sat. 2-4pm', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 550000.0, 'open_house_info': {'open_house_showing': [{'open_house_start': 1654376400000, 'open_house_end': 1654383600000}, {'open_house_start': 1654462800000, 'open_house_end': 1654470000000}]}, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 362519.0}}",ForSale,For Sale by Agent,False,False,,,,,,,,
,,"$139,999","{'latitude': 33.742275, 'longitude': -117.99111}",,,,https://photos.zillowstatic.com/fp/1f6bc93998c411c759a02f35953c0139-p_e.jpg,True,False,,,--,"{'type': '3D_HOME', 'text': '3D Tour'}",,FOR_SALE,Home for sale,,False,/homedetails/15141-Beach-Blvd-SPACE-64-Midway-City-CA-92655/2063707252_zpid/,True,False,,2063707252,$140K,3.0,2.0,1344.0,False,False,False,"{'homeInfo': {'zpid': 2063707252, 'zipcode': '92655', 'city': 'Midway City', 'state': 'CA', 'latitude': 33.742275, 'longitude': -117.99111, 'price': 139999.0, 'bathrooms': 2.0, 'bedrooms': 3.0, 'livingArea': 1344.0, 'homeType': 'MANUFACTURED', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 139999.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': 'Space 64'}}",ForSale,For Sale by Agent,False,False,,,,,,,,
,,"$1,475,000","{'latitude': 33.65162, 'longitude': -117.70229}",,,,https://photos.zillowstatic.com/fp/ec9b46cd8ba4b6ac940623a7c7a381e9-p_e.jpg,True,False,,,--,"{'type': 'OPEN_HOUSE', 'text': 'Open: Sun. 1-4pm'}",,FOR_SALE,House for sale,,False,/homedetails/21422-Via-Floresta-Lake-Forest-CA-92630/25532818_zpid/,False,False,,25532818,$1.48M,4.0,4.0,2672.0,False,False,False,"{'homeInfo': {'zpid': 25532818, 'zipcode': '92630', 'city': 'Lake Forest', 'state': 'CA', 'latitude': 33.65162, 'longitude': -117.70229, 'price': 1475000.0, 'datePriceChanged': 1648623600000, 'bathrooms': 4.0, 'bedrooms': 4.0, 'livingArea': 2672.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 1513900, 'rentZestimate': 4870, 'listing_sub_type': {'is_openHouse': True, 'is_FSBA': True}, 'openHouse': 'Sun. 1-4pm', 'priceReduction': '$25,000 (Mar 30)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 1475000.0, 'open_house_info': {'open_house_showing': [{'open_house_start': 1654459200000, 'open_house_end': 1654470000000}]}, 'priceChange': -25000, 'videoCount': 1, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 804766.0, 'lotAreaValue': 5663.0, 'lotAreaUnit': 'sqft'}}",ForSale,For Sale by Agent,True,False,,,,,,,,
,,"$1,550,000","{'latitude': 33.584312, 'longitude': -117.64183}",,,,https://photos.zillowstatic.com/fp/4cd66150d57aacd607a1b662e3278e28-p_e.jpg,True,False,,,--,"{'type': 'OPEN_HOUSE', 'text': 'Open: Fri. 1-4pm'}",,FOR_SALE,House for sale,,False,/homedetails/26055-Camino-Largo-Mission-Viejo-CA-92692/25609361_zpid/,False,False,,25609361,$1.55M,5.0,3.0,2653.0,False,False,False,"{'homeInfo': {'zpid': 25609361, 'zipcode': '92692', 'city': 'Mission Viejo', 'state': 'CA', 'latitude': 33.584312, 'longitude': -117.64183, 'price': 1550000.0, 'datePriceChanged': 1654066800000, 'bathrooms': 3.0, 'bedrooms': 5.0, 'livingArea': 2653.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 1761100, 'rentZestimate': 4800, 'listing_sub_type': {'is_openHouse': True, 'is_FSBA': True}, 'openHouse': 'Fri. 1-4pm', 'priceReduction': '$149,000 (Jun 1)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 1550000.0, 'open_house_info': {'open_house_showing': [{'open_house_start': 1654286400000, 'open_house_end': 1654297200000}, {'open_house_start': 1654372800000, 'open_house_end': 1654383600000}, {'open_house_start': 1654455600000, 'open_house_end': 1654466400000}]}, 'priceChange': -149000, 'videoCount': 1, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 703003.0, 'lotAreaValue': 5600.0, 'lotAreaUnit': 'sqft'}}",ForSale,For Sale by Agent,True,False,,,,,,,,
,,"$1,399,000","{'latitude': 33.445602, 'longitude': -117.5942}",,,,https://photos.zillowstatic.com/fp/12c279573246f8bc126b729f0f6f3012-p_e.jpg,True,False,,,--,"{'type': 'OPEN_HOUSE', 'text': 'Open: Sat. 1-4pm'}",,FOR_SALE,House for sale,,False,/homedetails/67-Chapital-San-Clemente-CA-92672/25593774_zpid/,True,False,,25593774,$1.40M,4.0,3.0,2700.0,False,False,False,"{'homeInfo': {'zpid': 25593774, 'zipcode': '92672', 'city': 'San Clemente', 'state': 'CA', 'latitude': 33.445602, 'longitude': -117.5942, 'price': 1399000.0, 'datePriceChanged': 1654066800000, 'bathrooms': 3.0, 'bedrooms': 4.0, 'livingArea': 2700.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 1543600, 'rentZestimate': 5749, 'listing_sub_type': {'is_openHouse': True, 'is_FSBA': True}, 'openHouse': 'Sat. 1-4pm', 'priceReduction': '$100,000 (Jun 1)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 1399000.0, 'open_house_info': {'open_house_showing': [{'open_house_start': 1654372800000, 'open_house_end': 1654383600000}, {'open_house_start': 1654459200000, 'open_house_end': 1654470000000}]}, 'priceChange': -100000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 849313.0, 'lotAreaValue': 5040.0, 'lotAreaUnit': 'sqft'}}",ForSale,For Sale by Agent,False,False,,,,,,,,
,,"$599,000","{'latitude': 33.841946, 'longitude': -117.85334}",,,,https://photos.zillowstatic.com/fp/ccc8ccdd90d0de6c28a523462e35d908-p_e.jpg,True,False,,,--,"{'type': 'OPEN_HOUSE', 'text': 'Open: Sat. 10am-3pm'}",,FOR_SALE,Townhouse for sale,,False,/homedetails/101-W-Riverdale-Ave-UNIT-12-Orange-CA-92865/25409941_zpid/,False,False,,25409941,$599K,2.0,2.0,1087.0,False,False,False,"{'homeInfo': {'zpid': 25409941, 'zipcode': '92865', 'city': 'Orange', 'state': 'CA', 'latitude': 33.841946, 'longitude': -117.85334, 'price': 599000.0, 'bathrooms': 2.0, 'bedrooms': 2.0, 'livingArea': 1087.0, 'homeType': 'TOWNHOUSE', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 539800, 'rentZestimate': 2495, 'listing_sub_type': {'is_openHouse': True, 'is_FSBA': True}, 'openHouse': 'Sat. 10am-3pm', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 599000.0, 'open_house_info': {'open_house_showing': [{'open_house_start': 1654362000000, 'open_house_end': 1654380000000}]}, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 166547.0, 'unit': 'Unit 12', 'lotAreaValue': 1039.0, 'lotAreaUnit': 'sqft'}}",ForSale,For Sale by Agent,False,False,,,,,,,,
,,"$820,000","{'latitude': 33.680088, 'longitude': -117.63549}",,,,https://photos.zillowstatic.com/fp/777dcfc5664b55d7ae994d7dbdbd9805-p_e.jpg,True,False,,,--,"{'type': 'OPEN_HOUSE', 'text': 'Open: Sat. 1-4pm'}",,FOR_SALE,Condo for sale,,False,/homedetails/19361-Cascade-Dr-Trabuco-Canyon-CA-92679/25685448_zpid/,True,False,,25685448,$820K,3.0,3.0,1303.0,False,False,False,"{'homeInfo': {'zpid': 25685448, 'zipcode': '92679', 'city': 'Trabuco Canyon', 'state': 'CA', 'latitude': 33.680088, 'longitude': -117.63549, 'price': 820000.0, 'bathrooms': 3.0, 'bedrooms': 3.0, 'livingArea': 1303.0, 'homeType': 'CONDO', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 844900, 'rentZestimate': 3369, 'listing_sub_type': {'is_openHouse': True, 'is_FSBA': True}, 'openHouse': 'Sat. 1-4pm', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 820000.0, 'open_house_info': {'open_house_showing': [{'open_house_start': 1654372800000, 'open_house_end': 1654383600000}, {'open_house_start': 1654459200000, 'open_house_end': 1654470000000}]}, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 551353.0}}",ForSale,For Sale by Agent,False,False,,,,,,,,
,,"$600,000","{'latitude': 33.874283, 'longitude': -117.95206}",,,,https://photos.zillowstatic.com/fp/03f1c5ed2398d6d328384b9a8769ae99-p_e.jpg,True,False,,,--,,,FOR_SALE,House for sale,,False,/homedetails/409-King-Pl-Fullerton-CA-92833/25118767_zpid/,False,False,,25118767,$600K,2.0,2.0,1146.0,False,False,False,"{'homeInfo': {'zpid': 25118767, 'zipcode': '92833', 'city': 'Fullerton', 'state': 'CA', 'latitude': 33.874283, 'longitude': -117.95206, 'price': 600000.0, 'bathrooms': 2.0, 'bedrooms': 2.0, 'livingArea': 1146.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 635300, 'rentZestimate': 2300, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 600000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 222724.0, 'lotAreaValue': 7200.0, 'lotAreaUnit': 'sqft'}}",ForSale,For Sale by Agent,False,False,,,,,,,,
